WannaSurf Spot List — Central America (Geocoded Only)
Scraped: 2026-04-27  |  Total geocoded: 459
======================================================================

Name                                                        Lat          Lon  URL
Raps                                                  10.172684   -85.817642  https://wannasurf.com/spot/Central_America/Costa_Rica/Guanacaste/raps/index.html
Roca Bruja                                            10.780529   -85.683060  https://wannasurf.com/spot/Central_America/Costa_Rica/Guanacaste/roca_bruja/index.html
Santa Teresa                                           9.637223   -85.168161  https://wannasurf.com/spot/Central_America/Costa_Rica/Guanacaste/santa_teresa/index.html
Suizo                                                 10.298199   -85.847683  https://wannasurf.com/spot/Central_America/Costa_Rica/Guanacaste/suizo/index.html
Tamarindo                                             10.301915   -85.842319  https://wannasurf.com/spot/Central_America/Costa_Rica/Guanacaste/tamarindo/index.html

## Costa Rica/Pacific_South
Gully S                                                9.570621   -84.598846  https://wannasurf.com/spot/Central_America/Costa_Rica/Pacific_South/Gully_s/index.html
Zancudo Beach                                          8.503315   -83.124264  https://wannasurf.com/spot/Central_America/Costa_Rica/Pacific_South/Zancudo_Beach/index.html
Agujas                                                 9.722699   -84.653928  https://wannasurf.com/spot/Central_America/Costa_Rica/Pacific_South/agujas/index.html
Backwash                                               8.391460   -83.279114  https://wannasurf.com/spot/Central_America/Costa_Rica/Pacific_South/backwash/index.html
Bajamar                                                9.858852   -84.701157  https://wannasurf.com/spot/Central_America/Costa_Rica/Pacific_South/bajamar/index.html
Bejuco                                                 9.518100   -84.436122  https://wannasurf.com/spot/Central_America/Costa_Rica/Pacific_South/bejuco/index.html
Boca Baranca                                           9.959213   -84.740295  https://wannasurf.com/spot/Central_America/Costa_Rica/Pacific_South/boca_baranca/index.html
Corralillo                                             9.901385   -84.728451  https://wannasurf.com/spot/Central_America/Costa_Rica/Pacific_South/corralillo/index.html
Dominical                                              9.248599   -83.861732  https://wannasurf.com/spot/Central_America/Costa_Rica/Pacific_South/dominical/index.html
Eserillos Oeste                                        9.527528   -84.499186  https://wannasurf.com/spot/Central_America/Costa_Rica/Pacific_South/eserillos_oeste/index.html
Esterillos                                             9.527030   -84.503231  https://wannasurf.com/spot/Central_America/Costa_Rica/Pacific_South/esterillos/index.html
Jaco Beach                                             9.598550   -84.621592  https://wannasurf.com/spot/Central_America/Costa_Rica/Pacific_South/jaco_beach/index.html
Manuel Antonio                                         9.389452   -84.148579  https://wannasurf.com/spot/Central_America/Costa_Rica/Pacific_South/manuel_antonio/index.html
Matapalo                                               8.384837   -83.279886  https://wannasurf.com/spot/Central_America/Costa_Rica/Pacific_South/matapalo/index.html
Pan Dulce                                              8.395281   -83.277011  https://wannasurf.com/spot/Central_America/Costa_Rica/Pacific_South/pan_dulce/index.html
Pavones                                                8.392850   -83.139371  https://wannasurf.com/spot/Central_America/Costa_Rica/Pacific_South/pavones/index.html
Perro Fino                                             9.590256   -84.626398  https://wannasurf.com/spot/Central_America/Costa_Rica/Pacific_South/perro_fino/index.html
Playa Bejuca                                           9.512386   -84.419117  https://wannasurf.com/spot/Central_America/Costa_Rica/Pacific_South/playa_bejuca/index.html
Playa Escondida                                        9.660492   -84.674292  https://wannasurf.com/spot/Central_America/Costa_Rica/Pacific_South/playa_escondida/index.html
Playa Hermosa                                          9.575191   -84.606571  https://wannasurf.com/spot/Central_America/Costa_Rica/Pacific_South/playa_hermosa/index.html
Playitas                                               9.396290   -84.162145  https://wannasurf.com/spot/Central_America/Costa_Rica/Pacific_South/playitas/index.html
Roca Loca                                              9.589494   -84.625282  https://wannasurf.com/spot/Central_America/Costa_Rica/Pacific_South/roca_loca/index.html
The Tree                                               9.565712   -84.591980  https://wannasurf.com/spot/Central_America/Costa_Rica/Pacific_South/the_tree/index.html

## Curacao
Playa Kanoa                                           12.176102   -68.864944  https://wannasurf.com/spot/Central_America/Curacao/Playa_Kanoa/index.html
Klein Curacao Rights                                  11.998773   -68.648294  https://wannasurf.com/spot/Central_America/Curacao/klein_curacao_rights/index.html
Sint Joris                                            12.175588   -68.858507  https://wannasurf.com/spot/Central_America/Curacao/sint_joris/index.html

## Dominica
Calibishie                                            15.602206   -61.366882  https://wannasurf.com/spot/Central_America/Dominica/Calibishie/index.html
L Anse Tortue                                         15.587676   -61.326660  https://wannasurf.com/spot/Central_America/Dominica/L_anse_Tortue/index.html
Pauga Bay                                             15.521382   -61.273155  https://wannasurf.com/spot/Central_America/Dominica/Pauga_Bay/index.html
Scotts Head                                           15.209967   -61.367118  https://wannasurf.com/spot/Central_America/Dominica/Scotts_Head/index.html
Turd Burger S                                         15.557353   -61.295782  https://wannasurf.com/spot/Central_America/Dominica/Turd_Burger_s/index.html
Philipp S                                             15.373223   -61.251225  https://wannasurf.com/spot/Central_America/Dominica/philipp_s_/index.html

## Dominican Republic
Coco Nuts                                             18.710328   -68.436434  https://wannasurf.com/spot/Central_America/Dominican_Republic/Coco_nuts/index.html
El Manda                                              17.988810   -71.162438  https://wannasurf.com/spot/Central_America/Dominican_Republic/El_Manda/index.html
Guibia                                                18.458361   -69.905700  https://wannasurf.com/spot/Central_America/Dominican_Republic/Guibia/index.html
La Punta                                              19.678384   -70.016191  https://wannasurf.com/spot/Central_America/Dominican_Republic/La_Punta/index.html
Patho                                                 18.228964   -70.188829  https://wannasurf.com/spot/Central_America/Dominican_Republic/Patho/index.html
San Rafael                                            18.029809   -71.137193  https://wannasurf.com/spot/Central_America/Dominican_Republic/San_Rafael/index.html
Cabarete                                              19.742793   -70.392151  https://wannasurf.com/spot/Central_America/Dominican_Republic/cabarete/index.html
El Broke                                              19.414954   -69.859657  https://wannasurf.com/spot/Central_America/Dominican_Republic/el_broke/index.html
El Chinchorro                                         18.419807   -70.011191  https://wannasurf.com/spot/Central_America/Dominican_Republic/el_chinchorro/index.html
El Coson                                              19.296076   -69.598732  https://wannasurf.com/spot/Central_America/Dominican_Republic/el_coson/index.html
El Tablon                                             19.752971   -70.526982  https://wannasurf.com/spot/Central_America/Dominican_Republic/el_tablon/index.html
Encuentro                                             19.782500   -70.447778  https://wannasurf.com/spot/Central_America/Dominican_Republic/encuentro/index.html
La Boya                                               18.432958   -69.631707  https://wannasurf.com/spot/Central_America/Dominican_Republic/la_boya/index.html
La Preciosa                                           19.679101   -70.003241  https://wannasurf.com/spot/Central_America/Dominican_Republic/la_preciosa/index.html
Macao                                                 18.773878   -68.536234  https://wannasurf.com/spot/Central_America/Dominican_Republic/macao/index.html
Shipwreck                                             20.712446   -69.715118  https://wannasurf.com/spot/Central_America/Dominican_Republic/shipwreck/index.html
Sosua                                                 19.766704   -70.515747  https://wannasurf.com/spot/Central_America/Dominican_Republic/sosua/index.html

## El Salvador
Cemetery                                              13.483035   -89.323989  https://wannasurf.com/spot/Central_America/El_Salvador/Cemetery/index.html
El Pimental                                           13.383102   -89.090310  https://wannasurf.com/spot/Central_America/El_Salvador/El_Pimental/index.html
El Zonte Rivermouth                                   13.493061   -89.439939  https://wannasurf.com/spot/Central_America/El_Salvador/El_Zonte_Rivermouth/index.html
Playa El Cocal                                        13.483445   -89.352179  https://wannasurf.com/spot/Central_America/El_Salvador/Playa_El_Cocal/index.html
Restaurants                                           13.486431   -89.324732  https://wannasurf.com/spot/Central_America/El_Salvador/Restaurants/index.html
Barra De Santiago                                     13.705955   -90.039359  https://wannasurf.com/spot/Central_America/El_Salvador/barra_de_santiago/index.html
El Zonte                                              13.494647   -89.438549  https://wannasurf.com/spot/Central_America/El_Salvador/el_zonte/index.html
K59                                                   13.499123   -89.473590  https://wannasurf.com/spot/Central_America/El_Salvador/k59/index.html
La Bocana                                             13.492341   -89.381676  https://wannasurf.com/spot/Central_America/El_Salvador/la_bocana/index.html
La Libertad                                           13.480030   -89.327559  https://wannasurf.com/spot/Central_America/El_Salvador/la_libertad/index.html
Las Flores                                            13.169963   -88.115330  https://wannasurf.com/spot/Central_America/El_Salvador/las_flores/index.html
Mizata                                                13.510035   -89.595909  https://wannasurf.com/spot/Central_America/El_Salvador/mizata/index.html
Palmarcito                                            13.493197   -89.422166  https://wannasurf.com/spot/Central_America/El_Salvador/palmarcito/index.html
Punta Mango                                           13.160122   -88.208724  https://wannasurf.com/spot/Central_America/El_Salvador/punta_mango/index.html
Zunzal                                                13.492169   -89.389953  https://wannasurf.com/spot/Central_America/El_Salvador/zunzal/index.html

## Grenada
Cherry Hill                                           12.061942   -61.756725  https://wannasurf.com/spot/Central_America/Grenada/Cherry_Hill/index.html
Prickly Point                                         11.989118   -61.762133  https://wannasurf.com/spot/Central_America/Grenada/Prickly_Point/index.html

## Guadeloupe
