WannaSurf Spot List — Geocoded Spots Only
Scraped: 2026-04-27  |  Total geocoded: 526
======================================================================

Name                                                 Lat          Lon  URL
Zuma Beach                                     34.027766  -118.841085  https://wannasurf.com/spot/North_America/USA/California/LA_County/zuma_beach/index.html

## California/Mendocino
Big River                                      39.301594  -123.797808  https://wannasurf.com/spot/North_America/USA/California/Mendocino/big_river/index.html
Caspar                                         39.360648  -123.816605  https://wannasurf.com/spot/North_America/USA/California/Mendocino/Caspar/index.html
Hare Creek                                     39.418292  -123.813858  https://wannasurf.com/spot/North_America/USA/California/Mendocino/hare_creek/index.html
Jug Handle State Beach                         39.377260  -123.820032  https://wannasurf.com/spot/North_America/USA/California/Mendocino/Jug_Handle_State_Beach/index.html
Manchester Beach                               38.966883  -123.720474  https://wannasurf.com/spot/North_America/USA/California/Mendocino/manchester_beach/index.html
Point Arena Cove                               38.914486  -123.711001  https://wannasurf.com/spot/North_America/USA/California/Mendocino/point_arena_cove/index.html
Usal Beach                                     39.830660  -123.850100  https://wannasurf.com/spot/North_America/USA/California/Mendocino/Usal_Beach/index.html

## California/Monterey
Andrew Molara State Beach                      36.281082  -121.857787  https://wannasurf.com/spot/North_America/USA/California/Monterey/andrew_molara_state_beach/index.html
Asilomar                                       36.618016  -121.942754  https://wannasurf.com/spot/North_America/USA/California/Monterey/asilomar/index.html
Carmel                                         36.549087  -121.929359  https://wannasurf.com/spot/North_America/USA/California/Monterey/carmel/index.html
Del Monte Beach                                36.605451  -121.869299  https://wannasurf.com/spot/North_America/USA/California/Monterey/del_monte_beach/index.html
Fullers                                        36.207589  -121.744534  https://wannasurf.com/spot/North_America/USA/California/Monterey/fullers/index.html
Garrapata                                      36.421628  -121.918974  https://wannasurf.com/spot/North_America/USA/California/Monterey/garrapata/index.html
Ghost Tree                                     36.561876  -121.951547  https://wannasurf.com/spot/North_America/USA/California/Monterey/ghost_tree/index.html
Lovers Point                                   36.626343  -121.914897  https://wannasurf.com/spot/North_America/USA/California/Monterey/lovers_point/index.html
Marina                                         36.699135  -121.809937  https://wannasurf.com/spot/North_America/USA/California/Monterey/marina/index.html
Moss Landing                                   36.817427  -121.793361  https://wannasurf.com/spot/North_America/USA/California/Monterey/moss_landing/index.html
Sand Dollar Beach                              35.923671  -121.472826  https://wannasurf.com/spot/North_America/USA/California/Monterey/Sand_Dollar_Beach/index.html
Seaside                                        36.612755  -121.858635  https://wannasurf.com/spot/North_America/USA/California/Monterey/Seaside/index.html
The Wharf                                      36.602127  -121.888011  https://wannasurf.com/spot/North_America/USA/California/Monterey/the_wharf/index.html

## California/Orange County
17Th Street                                    33.663425  -118.014321  https://wannasurf.com/spot/North_America/USA/California/Orange_County/17th_street/index.html
36Th Street                                    33.615155  -117.937224  https://wannasurf.com/spot/North_America/USA/California/Orange_County/36th_street/index.html
40Th Street                                    33.617300  -117.938898  https://wannasurf.com/spot/North_America/USA/California/Orange_County/40th_street/index.html
56Th St                                        33.623223  -117.945185  https://wannasurf.com/spot/North_America/USA/California/Orange_County/56th_st/index.html
Anderson Street                                33.722858  -118.080872  https://wannasurf.com/spot/North_America/USA/California/Orange_County/anderson_street/index.html
Ben Weston  Catalina Island                    33.376242  -118.479148  https://wannasurf.com/spot/North_America/USA/California/Orange_County/ben_weston__catalina_island_/index.html
Blackies                                       33.609044  -117.932053  https://wannasurf.com/spot/North_America/USA/California/Orange_County/blackies/index.html
Bolsa Chica                                    33.696637  -118.049469  https://wannasurf.com/spot/North_America/USA/California/Orange_County/bolsa_chica/index.html
Boxcars                                         0.000000    -0.000000  https://wannasurf.com/spot/North_America/USA/California/Orange_County/Boxcars_/index.html
Brooks Street                                  33.532861  -117.777343  https://wannasurf.com/spot/North_America/USA/California/Orange_County/brooks_street/index.html
Camp Pendelton                                 33.215999  -117.405803  https://wannasurf.com/spot/North_America/USA/California/Orange_County/camp_pendelton/index.html
Churches                                       33.380139  -117.579889  https://wannasurf.com/spot/North_America/USA/California/Orange_County/churches/index.html
Cottons                                        33.390737  -117.598633  https://wannasurf.com/spot/North_America/USA/California/Orange_County/Cottons/index.html
Crescent Bay                                   33.546295  -117.802019  https://wannasurf.com/spot/North_America/USA/California/Orange_County/Crescent_bay/index.html
Cylinders                                      33.595247  -117.889223  https://wannasurf.com/spot/North_America/USA/California/Orange_County/Cylinders/index.html
Dana Point                                     33.463060  -117.713485  https://wannasurf.com/spot/North_America/USA/California/Orange_County/dana_point/index.html
Doheney                                        33.460160  -117.688943  https://wannasurf.com/spot/North_America/USA/California/Orange_County/doheney/index.html
Huntington Beach                               33.655638  -118.003421  https://wannasurf.com/spot/North_America/USA/California/Orange_County/huntington_beach/index.html
Linda Lane Beach                               33.422523  -117.623663  https://wannasurf.com/spot/North_America/USA/California/Orange_County/Linda_Lane_Beach/index.html
Lower Trestles                                 33.382791  -117.588687  https://wannasurf.com/spot/North_America/USA/California/Orange_County/lower_trestles/index.html
Middles                                        33.602414  -117.913063  https://wannasurf.com/spot/North_America/USA/California/Orange_County/Middles/index.html
Newport   15Th Street                          33.604460  -117.918867  https://wannasurf.com/spot/North_America/USA/California/Orange_County/Newport_-_15th_Street/index.html
Newport Beach                                  33.620051  -117.940292  https://wannasurf.com/spot/North_America/USA/California/Orange_County/newport_beach/index.html
Newport Beach River Jetties                    33.619247  -117.940249  https://wannasurf.com/spot/North_America/USA/California/Orange_County/newport_beach_river_jetties/index.html
Ray Bay                                        33.739294  -118.117404  https://wannasurf.com/spot/North_America/USA/California/Orange_County/ray_bay/index.html
Riviera                                        33.405794  -117.608407  https://wannasurf.com/spot/North_America/USA/California/Orange_County/Riviera/index.html
Salt Creek                                     33.473558  -117.721521  https://wannasurf.com/spot/North_America/USA/California/Orange_County/salt_creek/index.html
Salt Creek  Middles                            33.475357  -117.723720  https://wannasurf.com/spot/North_America/USA/California/Orange_County/Salt_Creek-_Middles/index.html
Salt Creek Heroins                             33.483447  -117.729235  https://wannasurf.com/spot/North_America/USA/California/Orange_County/Salt_Creek_Heroins/index.html
Salt Creek Point                               33.473639  -117.722197  https://wannasurf.com/spot/North_America/USA/California/Orange_County/salt_creek_point/index.html
San Clemente Pier                              33.419787  -117.621490  https://wannasurf.com/spot/North_America/USA/California/Orange_County/san_clemente_pier/index.html
San Onofre                                     33.372506  -117.565770  https://wannasurf.com/spot/North_America/USA/California/Orange_County/san_onofre/index.html
Scotchmans Cove                                33.553412  -117.827682  https://wannasurf.com/spot/North_America/USA/California/Orange_County/scotchmans_cove/index.html
Seal Beach                                     33.738348  -118.110130  https://wannasurf.com/spot/North_America/USA/California/Orange_County/seal_beach/index.html
